plantID,pop,year,popYear,taxa,sp,reg,nFlrs,nFrts,latN,lonW
PMT16,PMT,2019,PMT-2019,PC,P,P,47,18,31.88892,-97.69912
PMT17,PMT,2019,PMT-2019,PC,P,P,16,12,31.88892,-97.69912
PMT18,PMT,2019,PMT-2019,PC,P,P,34,21,31.88892,-97.69912
PMT19,PMT,2019,PMT-2019,PC,P,P,55,53,31.88892,-97.69912
PMT20,PMT,2019,PMT-2019,PC,P,P,41,24,31.88892,-97.69912
PMT21,PMT,2019,PMT-2019,PC,P,P,16,14,31.88892,-97.69912
PMT22,PMT,2019,PMT-2019,PC,P,P,32,15,31.88892,-97.69912
PMT23,PMT,2019,PMT-2019,PC,P,P,19,10,31.88892,-97.69912
PMT24,PMT,2019,PMT-2019,PC,P,P,14,8,31.88892,-97.69912
PMT25,PMT,2019,PMT-2019,PC,P,P,21,12,31.88892,-97.69912
PMT26,PMT,2019,PMT-2019,PC,P,P,21,16,31.88892,-97.69912
PMT27,PMT,2019,PMT-2019,PC,P,P,26,11,31.88892,-97.69912
PMT28,PMT,2019,PMT-2019,PC,P,P,47,45,31.88892,-97.69912
PMT29,PMT,2019,PMT-2019,PC,P,P,21,15,31.88892,-97.69912
PMT30,PMT,2019,PMT-2019,PC,P,P,19,8,31.88892,-97.69912
PTH01,PTH,2019,PTH-2019,PC,P,P,24,11,32.74596,-97.27286
PTH02,PTH,2019,PTH-2019,PC,P,P,33,17,32.74596,-97.27286
PTH03,PTH,2019,PTH-2019,PC,P,P,29,20,32.74596,-97.27286
PTH04,PTH,2019,PTH-2019,PC,P,P,38,21,32.74596,-97.27286
PTH05,PTH,2019,PTH-2019,PC,P,P,31,14,32.74596,-97.27286
PTH06,PTH,2019,PTH-2019,PC,P,P,19,8,32.74596,-97.27286
PTH07,PTH,2019,PTH-2019,PC,P,P,30,11,32.74596,-97.27286
PTH08,PTH,2019,PTH-2019,PC,P,P,45,29,32.74596,-97.27286
PTH09,PTH,2019,PTH-2019,PC,P,P,41,23,32.74596,-97.27286
PTH10,PTH,2019,PTH-2019,PC,P,P,36,32,32.74596,-97.27286
PTH11,PTH,2019,PTH-2019,PC,P,P,40,32,32.74596,-97.27286
PTH12,PTH,2019,PTH-2019,PC,P,P,46,26,32.74596,-97.27286
PTH13,PTH,2019,PTH-2019,PC,P,P,29,22,32.74596,-97.27286
PTH14,PTH,2019,PTH-2019,PC,P,P,28,24,32.74596,-97.27286
PTH15,PTH,2019,PTH-2019,PC,P,P,49,32,32.74596,-97.27286
PTH16,PTH,2019,PTH-2019,PC,P,P,35,22,32.74596,-97.27286
PTH17,PTH,2019,PTH-2019,PC,P,P,28,17,32.74596,-97.27286
PTH18,PTH,2019,PTH-2019,PC,P,P,23,17,32.74596,-97.27286
PTH19,PTH,2019,PTH-2019,PC,P,P,34,18,32.74596,-97.27286
PTH20,PTH,2019,PTH-2019,PC,P,P,25,10,32.74596,-97.27286
PTH21,PTH,2019,PTH-2019,PC,P,P,33,21,32.74596,-97.27286
PTH22,PTH,2019,PTH-2019,PC,P,P,29,16,32.74596,-97.27286
PTH23,PTH,2019,PTH-2019,PC,P,P,42,18,32.74596,-97.27286
PTH24,PTH,2019,PTH-2019,PC,P,P,15,5,32.74596,-97.27286
PTH25,PTH,2019,PTH-2019,PC,P,P,28,5,32.74596,-97.27286
PTH26,PTH,2019,PTH-2019,PC,P,P,15,9,32.74596,-97.27286
PTH27,PTH,2019,PTH-2019,PC,P,P,40,22,32.74596,-97.27286
PTH28,PTH,2019,PTH-2019,PC,P,P,51,12,32.74596,-97.27286
PTH29,PTH,2019,PTH-2019,PC,P,P,10,5,32.74596,-97.27286
PTH30,PTH,2019,PTH-2019,PC,P,P,82,41,32.74596,-97.27286
PTH31,PTH,2019,PTH-2019,PC,P,P,33,15,32.74596,-97.27286
SBL01,SBL,2019,SBL-2019,S,S,wS,48,34,33.34243,-104.333
SBL02,SBL,2019,SBL-2019,S,S,wS,18,15,33.34243,-104.333
SBL03,SBL,2019,SBL-2019,S,S,wS,17,12,33.34243,-104.333
SBL04,SBL,2019,SBL-2019,S,S,wS,16,13,33.34243,-104.333
SBL05,SBL,2019,SBL-2019,S,S,wS,20,17,33.34243,-104.333
SBL06,SBL,2019,SBL-2019,S,S,wS,15,9,33.34243,-104.333
SBL07,SBL,2019,SBL-2019,S,S,wS,42,35,33.34243,-104.333
SBL08,SBL,2019,SBL-2019,S,S,wS,14,12,33.34243,-104.333
SBL09,SBL,2019,SBL-2019,S,S,wS,21,2,33.34243,-104.333
SBL10,SBL,2019,SBL-2019,S,S,wS,31,24,33.34243,-104.333
SBL11,SBL,2019,SBL-2019,S,S,wS,54,36,33.34243,-104.333
SBL12,SBL,2019,SBL-2019,S,S,wS,12,4,33.34243,-104.333
SBL13,SBL,2019,SBL-2019,S,S,wS,17,13,33.34243,-104.333
SBL14,SBL,2019,SBL-2019,S,S,wS,15,9,33.34243,-104.333
SBL15,SBL,2019,SBL-2019,S,S,wS,25,22,33.34243,-104.333
SBL16,SBL,2019,SBL-2019,S,S,wS,17,13,33.34243,-104.333
SBL17,SBL,2019,SBL-2019,S,S,wS,27,17,33.34243,-104.333
SBL18,SBL,2019,SBL-2019,S,S,wS,19,14,33.34243,-104.333
SBL19,SBL,2019,SBL-2019,S,S,wS,2,2,33.34243,-104.333
SBL20,SBL,2019,SBL-2019,S,S,wS,19,13,33.34243,-104.333
SBL21,SBL,2019,SBL-2019,S,S,wS,19,16,33.34243,-104.333
SBL22,SBL,2019,SBL-2019,S,S,wS,18,8,33.34243,-104.333
SBL23,SBL,2019,SBL-2019,S,S,wS,22,15,33.34243,-104.333
SBL24,SBL,2019,SBL-2019,S,S,wS,14,12,33.34243,-104.333
SBL25,SBL,2019,SBL-2019,S,S,wS,11,8,33.34243,-104.333
SBL26,SBL,2019,SBL-2019,S,S,wS,17,6,33.34243,-104.333
SBL27,SBL,2019,SBL-2019,S,S,wS,21,10,33.34243,-104.333
